"startTime";"endTime";"Hydro power production - real-time data"
"2025-12-31T22:00:00.000Z";"2025-12-31T22:03:00.000Z";1698
"2025-12-31T22:03:00.000Z";"2025-12-31T22:06:00.000Z";1669.2
"2025-12-31T22:06:00.000Z";"2025-12-31T22:09:00.000Z";1657.8
"2025-12-31T22:09:00.000Z";"2025-12-31T22:12:00.000Z";1615.8
"2025-12-31T22:12:00.000Z";"2025-12-31T22:15:00.000Z";1595.5
"2025-12-31T22:15:00.000Z";"2025-12-31T22:18:00.000Z";1586.7
"2025-12-31T22:18:00.000Z";"2025-12-31T22:21:00.000Z";1592.5
"2025-12-31T22:21:00.000Z";"2025-12-31T22:24:00.000Z";1593.2
"2025-12-31T22:24:00.000Z";"2025-12-31T22:27:00.000Z";1598.2
"2025-12-31T22:27:00.000Z";"2025-12-31T22:30:00.000Z";1588.7
"2025-12-31T22:30:00.000Z";"2025-12-31T22:33:00.000Z";1587.7
"2025-12-31T22:33:00.000Z";"2025-12-31T22:36:00.000Z";1596.3
"2025-12-31T22:36:00.000Z";"2025-12-31T22:39:00.000Z";1590.7
"2025-12-31T22:39:00.000Z";"2025-12-31T22:42:00.000Z";1584.8
"2025-12-31T22:42:00.000Z";"2025-12-31T22:45:00.000Z";1581.2
"2025-12-31T22:45:00.000Z";"2025-12-31T22:48:00.000Z";1577.5
"2025-12-31T22:48:00.000Z";"2025-12-31T22:51:00.000Z";1610.7
"2025-12-31T22:51:00.000Z";"2025-12-31T22:54:00.000Z";1605
"2025-12-31T22:54:00.000Z";"2025-12-31T22:57:00.000Z";1608
"2025-12-31T22:57:00.000Z";"2025-12-31T23:00:00.000Z";1609
"2025-12-31T23:00:00.000Z";"2025-12-31T23:03:00.000Z";1629.1
"2025-12-31T23:03:00.000Z";"2025-12-31T23:06:00.000Z";1627
"2025-12-31T23:06:00.000Z";"2025-12-31T23:09:00.000Z";1600.3
"2025-12-31T23:09:00.000Z";"2025-12-31T23:12:00.000Z";1610.3
"2025-12-31T23:12:00.000Z";"2025-12-31T23:15:00.000Z";1606.2
"2025-12-31T23:15:00.000Z";"2025-12-31T23:18:00.000Z";1609.7
"2025-12-31T23:18:00.000Z";"2025-12-31T23:21:00.000Z";1631.3
"2025-12-31T23:21:00.000Z";"2025-12-31T23:24:00.000Z";1690.2
"2025-12-31T23:24:00.000Z";"2025-12-31T23:27:00.000Z";1696.5
"2025-12-31T23:27:00.000Z";"2025-12-31T23:30:00.000Z";1694.2
"2025-12-31T23:30:00.000Z";"2025-12-31T23:33:00.000Z";1689
"2025-12-31T23:33:00.000Z";"2025-12-31T23:36:00.000Z";1703.7
"2025-12-31T23:36:00.000Z";"2025-12-31T23:39:00.000Z";1704.2
