"startTime";"endTime";"Wind power production - real-time data"
"2025-12-31T22:00:00.000Z";"2025-12-31T22:03:00.000Z";1301
"2025-12-31T22:03:00.000Z";"2025-12-31T22:06:00.000Z";1331
"2025-12-31T22:06:00.000Z";"2025-12-31T22:09:00.000Z";1335
"2025-12-31T22:09:00.000Z";"2025-12-31T22:12:00.000Z";1323
"2025-12-31T22:12:00.000Z";"2025-12-31T22:15:00.000Z";1318
"2025-12-31T22:15:00.000Z";"2025-12-31T22:18:00.000Z";1316.5
"2025-12-31T22:18:00.000Z";"2025-12-31T22:21:00.000Z";1287
"2025-12-31T22:21:00.000Z";"2025-12-31T22:24:00.000Z";1290
"2025-12-31T22:24:00.000Z";"2025-12-31T22:27:00.000Z";1297.5
"2025-12-31T22:27:00.000Z";"2025-12-31T22:30:00.000Z";1299
"2025-12-31T22:30:00.000Z";"2025-12-31T22:33:00.000Z";1312
"2025-12-31T22:33:00.000Z";"2025-12-31T22:36:00.000Z";1320
"2025-12-31T22:36:00.000Z";"2025-12-31T22:39:00.000Z";1327.5
"2025-12-31T22:39:00.000Z";"2025-12-31T22:42:00.000Z";1324.5
"2025-12-31T22:42:00.000Z";"2025-12-31T22:45:00.000Z";1328.5
"2025-12-31T22:45:00.000Z";"2025-12-31T22:48:00.000Z";1344.5
"2025-12-31T22:48:00.000Z";"2025-12-31T22:51:00.000Z";1298
"2025-12-31T22:51:00.000Z";"2025-12-31T22:54:00.000Z";1298.5
"2025-12-31T22:54:00.000Z";"2025-12-31T22:57:00.000Z";1298.5
"2025-12-31T22:57:00.000Z";"2025-12-31T23:00:00.000Z";1293
"2025-12-31T23:00:00.000Z";"2025-12-31T23:03:00.000Z";1286.5
"2025-12-31T23:03:00.000Z";"2025-12-31T23:06:00.000Z";1323
"2025-12-31T23:06:00.000Z";"2025-12-31T23:09:00.000Z";1317
"2025-12-31T23:09:00.000Z";"2025-12-31T23:12:00.000Z";1322.5
"2025-12-31T23:12:00.000Z";"2025-12-31T23:15:00.000Z";1323.5
"2025-12-31T23:15:00.000Z";"2025-12-31T23:18:00.000Z";1304
"2025-12-31T23:18:00.000Z";"2025-12-31T23:21:00.000Z";1302
"2025-12-31T23:21:00.000Z";"2025-12-31T23:24:00.000Z";1305
"2025-12-31T23:24:00.000Z";"2025-12-31T23:27:00.000Z";1304
"2025-12-31T23:27:00.000Z";"2025-12-31T23:30:00.000Z";1314
"2025-12-31T23:30:00.000Z";"2025-12-31T23:33:00.000Z";1337.5
"2025-12-31T23:33:00.000Z";"2025-12-31T23:36:00.000Z";1348
"2025-12-31T23:36:00.000Z";"2025-12-31T23:39:00.000Z";1346
"2025-12-31T23:39:00.000Z";"2025-12-31T23:42:00.000Z";1351
"2025-12-31T23:42:00.000Z";"2025-12-31T23:45:00.000Z";1358.5
"2025-12-31T23:45:00.000Z";"2025-12-31T23:48:00.000Z";1369
"2025-12-31T23:48:00.000Z";"2025-12-31T23:51:00.000Z";1360
"2025-12-31T23:51:00.000Z";"2025-12-31T23:54:00.000Z";1361
"2025-12-31T23:54:00.000Z";"2025-12-31T23:57:00.000Z";1336
"2025-12-31T23:57:00.000Z";"2026-01-01T00:00:00.000Z";1352
"2026-01-01T00:00:00.000Z";"2026-01-01T00:03:00.000Z";1385.5
"2026-01-01T00:03:00.000Z";"2026-01-01T00:06:00.000Z";1430
"2026-01-01T00:06:00.000Z";"2026-01-01T00:09:00.000Z";1429.4
"2026-01-01T00:09:00.000Z";"2026-01-01T00:12:00.000Z";1444
"2026-01-01T00:12:00.000Z";"2026-01-01T00:15:00.000Z";1454.5
"2026-01-01T00:15:00.000Z";"2026-01-01T00:18:00.000Z";1454
"2026-01-01T00:18:00.000Z";"2026-01-01T00:21:00.000Z";1458
"2026-01-01T00:21:00.000Z";"2026-01-01T00:24:00.000Z";1455.5
"2026-01-01T00:24:00.000Z";"2026-01-01T00:27:00.000Z";1462.5
"2026-01-01T00:27:00.000Z";"2026-01-01T00:30:00.000Z";1488.5
"2026-01-01T00:30:00.000Z";"2026-01-01T00:33:00.000Z";1501
"2026-01-01T00:33:00.000Z";"2026-01-01T00:36:00.000Z";1494.5
"2026-01-01T00:36:00.000Z";"2026-01-01T00:39:00.000Z";1513
"2026-01-01T00:39:00.000Z";"2026-01-01T00:42:00.000Z";1523.5
"2026-01-01T00:42:00.000Z";"2026-01-01T00:45:00.000Z";1528.5
"2026-01-01T00:45:00.000Z";"2026-01-01T00:48:00.000Z";1536
"2026-01-01T00:48:00.000Z";"2026-01-01T00:51:00.000Z";1521
"2026-01-01T00:51:00.000Z";"2026-01-01T00:54:00.000Z";1526
"2026-01-01T00:54:00.000Z";"2026-01-01T00:57:00.000Z";1549
"2026-01-01T00:57:00.000Z";"2026-01-01T01:00:00.000Z";1544.5
"2026-01-01T01:00:00.000Z";"2026-01-01T01:03:00.000Z";1548
"2026-01-01T01:03:00.000Z";"2026-01-01T01:06:00.000Z";1580
"2026-01-01T01:06:00.000Z";"2026-01-01T01:09:00.000Z";1585
"2026-01-01T01:09:00.000Z";"2026-01-01T01:12:00.000Z";1589
"2026-01-01T01:12:00.000Z";"2026-01-01T01:15:00.000Z";1604
"2026-01-01T01:15:00.000Z";"2026-01-01T01:18:00.000Z";1604
"2026-01-01T01:18:00.000Z";"2026-01-01T01:21:00.000Z";1610
"2026-01-01T01:21:00.000Z";"2026-01-01T01:24:00.000Z";1617
"2026-01-01T01:24:00.000Z";"2026-01-01T01:27:00.000Z";1630.5
"2026-01-01T01:27:00.000Z";"2026-01-01T01:30:00.000Z";1654
"2026-01-01T01:30:00.000Z";"2026-01-01T01:33:00.000Z";1664
"2026-01-01T01:33:00.000Z";"2026-01-01T01:36:00.000Z";1670
"2026-01-01T01:36:00.000Z";"2026-01-01T01:39:00.000Z";1673
"2026-01-01T01:39:00.000Z";"2026-01-01T01:42:00.000Z";1706
"2026-01-01T01:42:00.000Z";"2026-01-01T01:45:00.000Z";1760
"2026-01-01T01:45:00.000Z";"2026-01-01T01:48:00.000Z";1762
"2026-01-01T01:48:00.000Z";"2026-01-01T01:51:00.000Z";1773.5
"2026-01-01T01:51:00.000Z";"2026-01-01T01:54:00.000Z";1787.5
